start,end,duration
8号线老西门,8号线大世界,120
8号线大世界,8号线人民广场,60
8号线人民广场,8号线曲阜路,180
8号线曲阜路,8号线中兴路,120
8号线中兴路,8号线西藏北路,120
8号线西藏北路,8号线虹口足球场,180
8号线虹口足球场,8号线曲阳路,120
8号线曲阳路,8号线四平路,120
8号线四平路,8号线鞍山新村,120
8号线鞍山新村,8号线江浦路,120
8号线江浦路,8号线黄兴路,120
8号线黄兴路,8号线延吉中路,180
8号线延吉中路,8号线黄兴公园,120
8号线黄兴公园,8号线翔殷路,120
8号线翔殷路,8号线嫩江路,120
8号线嫩江路,8号线市光路,60
8号线沈杜公路,8号线联航路,120
8号线联航路,8号线江月路,120
8号线江月路,8号线浦江镇,120
8号线浦江镇,8号线芦恒路,240
8号线芦恒路,8号线凌兆新村,180
8号线凌兆新村,8号线东方体育中心,240
8号线东方体育中心,8号线杨思,120
8号线杨思,8号线成山路,120
8号线成山路,8号线耀华路,120
8号线耀华路,8号线中华艺术宫,120
8号线中华艺术宫,8号线西藏南路,180
8号线西藏南路,8号线陆家浜路,120
8号线陆家浜路,8号线老西门,120
8号线老西门,8号线大世界,120
8号线大世界,8号线人民广场,120
8号线人民广场,8号线曲阜路,120
8号线曲阜路,8号线中兴路,120
8号线中兴路,8号线西藏北路,180
8号线西藏北路,8号线虹口足球场,120
8号线虹口足球场,8号线曲阳路,180
8号线曲阳路,8号线四平路,120
8号线四平路,8号线鞍山新村,120
8号线鞍山新村,8号线江浦路,120
8号线江浦路,8号线黄兴路,120
8号线黄兴路,8号线延吉中路,120
8号线延吉中路,8号线黄兴公园,120
8号线黄兴公园,8号线翔殷路,120
8号线翔殷路,8号线嫩江路,120
8号线嫩江路,8号线市光路,120
9号线沈杜公路,9号线联航路,120
9号线联航路,9号线江月路,120
9号线江月路,9号线浦江镇,120
9号线浦江镇,9号线芦恒路,240
9号线芦恒路,9号线凌兆新村,180
9号线凌兆新村,9号线东方体育中心,180
9号线东方体育中心,9号线杨思,180
9号线杨思,9号线成山路,120
9号线成山路,9号线耀华路,120
